0,Neptune Analysis Data Report,,,,,,,,,,,
1,Filename: C:\Neptune\User\Neptune\Data\Boron\2022-02-15 Boron IC-F FF AAJ_5RMs_Seq2_20220215-221507\329_U.dat,,,,,,,,,,,
2,Date: 16/02/2022,,,,,,,,,,,
3,Sample ID: ,,,,,,,,,,,
4,Method Name: C:\Neptune\User\Neptune\Methods\B method F F_AAJ.met,,,,,,,,,,,
5,Wheel ID: ,,,,,,,,,,,
6,Run number: 329,,,,,,,,,,,
7,View Mode: RUN_VIEW,,,,,,,,,,,
8,Evaluation Mode: Static,,,,,,,,,,,
9,Analysis date: 16/02/2022,,,,,,,,,,,
10,Analysis time: 05:53:05,,,,,,,,,,,
11,Operator: ,,,,,,,,,,,
12,Instrument: ,,,,,,,,,,,
13,Comment: ,,,,,,,,,,,
14,SampleType: SMP,,,,,,,,,,,
15,Blank 1: ,,,,,,,,,,,
16,Blank 2: ,,,,,,,,,,,
17,Standard 1: ,,,,,,,,,,,
18,Standard 2: ,,,,,,,,,,,
19,Data Version: 3.3.0.3 ,,,,,,,,,,,
20,Export Version: 3.3.0.3 ,,,,,,,,,,,
21,,,,,,,,,,,,
22,Cycle,Time,9.9,10B,10.2,10.436,10.9,11B,11B/10B (1),10B/9.9 (2),10B/10.1 (3),
48,26,05:53:41:328,2.9263118783844365e-004,4.7118667947058181e-004,2.6410507167393674e-004,1.7178959303049851e-004,2.2891679947814001e-004,8.9092680479017732e-004,1.8908149224235480e+000,-3.8672875054462929e+004,-3.8672875054462929e+004,
49,27,05:53:41:595,2.5741582930868448e-004,4.8384125963139537e-004,2.6239223698987701e-004,1.6685350800898415e-004,2.9204708241043349e-004,8.7190520217341470e-004,1.8020480577403795e+000,0.0000000000000000e+000,0.0000000000000000e+000,
50,28,05:53:41:861,2.7675630152586950e-004,4.3778216033016213e-004,2.7188318723370331e-004,1.0693324249689089e-005,1.1711382427457178e-004,9.6320455562108587e-004,2.2001914260157744e+000,0.0000000000000000e+000,0.0000000000000000e+000,
51,29,05:53:42:127,3.2363412513680023e-004,4.8079420000858548e-004,2.6309112103964398e-004,1.3824806381910914e-004,1.9262801380548224e-005,9.8370655282566740e-004,2.0460033686098988e+000,0.0000000000000000e+000,0.0000000000000000e+000,
52,30,05:53:42:393,3.4285233180819544e-004,4.2516787750780048e-004,2.4168991781186526e-004,1.8272496657399816e-004,1.5687367487392714e-004,9.2523561639037217e-004,2.1761653815754154e+000,0.0000000000000000e+000,0.0000000000000000e+000,
53,31,05:53:42:658,2.2869971032535879e-004,4.2097434988811735e-004,2.5203677407197169e-004,4.8367009251371214e-005,1.9989810660572691e-004,9.0767829749631120e-004,2.1561368233897040e+000,0.0000000000000000e+000,0.0000000000000000e+000,
54,32,05:53:42:924,2.3615231371448611e-004,4.4514956849107370e-004,2.6101624084361484e-004,1.4048260053063443e-004,-2.2108919556584770e-005,9.0367843163068984e-004,2.0300557286709147e+000,0.0000000000000000e+000,0.0000000000000000e+000,
55,33,05:53:43:190,2.9441082494035045e-004,4.4797847662375779e-004,2.4155374374692847e-004,1.7018110567340548e-004,1.6453959691966222e-004,9.6999638502019291e-004,2.1652745291039075e+000,0.0000000000000000e+000,0.0000000000000000e+000,
56,34,05:53:43:457,2.6595688337234633e-004,4.4142397378862648e-004,2.5825335272334441e-004,3.0480537309606719e-006,1.9195473898530149e-004,9.8707724381495482e-004,2.2361206060992318e+000,3.6162116503278827e+004,3.6162116503278827e+004,
57,35,05:53:43:723,2.6866751197875068e-004,4.5836548865559908e-004,2.3541752381906619e-004,2.6596465641182029e-004,1.8695475469082996e-004,9.7154412556689983e-004,2.1195839338089577e+000,6.1944801315256373e+003,6.1944801315256373e+003,
58,36,05:53:43:989,3.0784385767761992e-004,4.5189806135242710e-004,2.6004489314104324e-004,2.5576793762310931e-004,2.1635515720381818e-004,9.0174867703040197e-004,1.9954692311174678e+000,9.1099151051166355e+003,9.1099151051166355e+003,
59,37,05:53:44:256,2.5363934962016290e-004,4.2025240256825339e-004,3.1650502605185145e-004,9.5669977568169692e-005,7.6146430441040625e-005,9.4811744096708452e-004,2.2560666760568973e+000,-3.4492419594969950e+004,-3.4492419594969950e+004,
60,38,05:53:44:522,2.6660829573466917e-004,4.4930393255119931e-004,2.3597416004821170e-004,1.1332824365512304e-004,1.4301344145495467e-004,9.3486456861878323e-004,2.0806952730427151e+000,0.0000000000000000e+000,0.0000000000000000e+000,
61,39,05:53:44:788,2.8691301567904993e-004,4.6510913189253927e-004,1.9019006673452355e-004,-4.4156563281971395e-005,1.8267364291778653e-004,9.4186214600744660e-004,2.0250347314725663e+000,0.0000000000000000e+000,0.0000000000000000e+000,
62,40,05:53:45:054,2.9099488406304861e-004,4.5172760796720064e-004,2.1574778452817874e-004,3.5304707975327727e-004,3.1144108341437396e-004,9.7489115235335495e-004,2.1581394078179534e+000,0.0000000000000000e+000,0.0000000000000000e+000,
63,41,05:53:45:319,2.5784491403776097e-004,4.0795197283387448e-004,2.7355795092751117e-004,-6.1761377333093218e-005,7.3219039076024268e-005,9.1533723633419831e-004,2.2437377370079306e+000,0.0000000000000000e+000,0.0000000000000000e+000,
64,42,05:53:45:585,3.0583582346229381e-004,4.0332685524882903e-004,2.5873965207350350e-004,-4.0409612423336482e-005,-4.6707688438990743e-005,9.2860907208758303e-004,2.3023735216309502e+000,0.0000000000000000e+000,0.0000000000000000e+000,
65,43,05:53:45:851,3.2671521740964594e-004,4.6929870336617346e-004,2.0594101271230591e-004,3.6038496582920505e-005,1.7921436230052541e-004,9.4969673532829270e-004,2.0236508827242283e+000,0.0000000000000000e+000,0.0000000000000000e+000,
66,44,05:53:46:118,2.8459709643810456e-004,4.3942582189800101e-004,2.3734034286384062e-004,7.7885870805544471e-005,3.3200846196329657e-004,9.6010646787685126e-004,2.1849113548445724e+000,0.0000000000000000e+000,0.0000000000000000e+000,
67,45,05:53:46:384,2.6352077318219145e-004,4.3503189689850897e-004,2.9424846449836392e-004,9.2359908985619035e-005,6.8042830194000225e-005,9.3700049685454829e-004,2.1538661958691878e+000,3.5638467941071307e+004,3.5638467941071307e+004,
68,46,05:53:46:650,2.7453845836759156e-004,4.4847112427207010e-004,2.5184745689357628e-004,1.8119101879546535e-004,1.9645540151236923e-005,9.4036351907514457e-004,2.0968206606422721e+000,7.2581076956487623e+003,7.2581076956487623e+003,
69,47,05:53:46:917,2.9437293902836797e-004,4.4721365504305698e-004,1.9550865490866354e-004,1.2381251835463458e-004,-1.3476618443574302e-005,9.6697822850632135e-004,2.1622287638180957e+000,-3.6705277457253818e+004,-3.6705277457253818e+004,
70,48,05:53:47:183,3.1325253174390453e-004,4.4109476494021030e-004,2.7657473112590767e-004,2.3092194976246852e-004,2.1860809938297046e-004,9.4900841085742533e-004,2.1514841850051472e+000,0.0000000000000000e+000,0.0000000000000000e+000,
